car,move
F,-3
B,1
F,1
F,2
A,-3
F,-3
E,-1
A,3
F,-1
A,-1
A,-1
B,2
X,-2
G,-2
H,-1
G,1
X,-1
G,-2
B,-2
E,4
B,2
X,1
H,1
F,3
E,-1
X,-1
F,1
H,-1
A,-1
H,1
B,-1
B,-2
E,-2
D,-4
G,2
G,1
C,2
G,-3
B,1
E,2
C,-1
H,-3
C,1
C,1
A,1
E,-2
H,2
H,-1
E,2
E,-1
H,-1
G,1
A,2
B,-1
E,-1
C,-3
D,1
F,-1
H,1
H,2
G,2
F,1
G,-1
C,1
G,1
A,1
G,-2
G,-1
E,1
E,1
D,-1
C,1
D,3
B,3
C,-1
F,-1
H,-1
F,1
X,1
F,-2
C,1
F,-1
H,1
F,-1
X,-1
B,-1
H,-3
B,-2
C,1
H,2
H,-3
C,-1
H,2
D,-1
D,-2
H,1
B,3
B,-1
G,1
H,-1
G,-1
C,-1
H,1
C,2
H,-3
H,1
G,1
B,-1
E,-3
H,-1
B,1
H,2
H,-1
G,1
B,-1
E,1
H,-1
E,-1
G,-2
C,-2
B,-1
B,2
C,1
B,1
G,3
A,-2
A,1
A,-2
X,2
C,1
A,2
X,-1
A,-2
C,-1
F,1
C,1
A,3
X,2
F,-1
A,-3
B,-2
B,1
X,1
